Entity,Layer,XS,YS,XE,YE,XM,YM,point,geometry,X,Y,distance,pointinfo_index
Circle,PS_YSP,37494225.7,2394175.064,37494225.7,2394175.064,37494225.1,2394175.064,1.0,"c(37494225.400000006, 2394175.064)",37494225.400000006,2394175.064,658.5341209643597,
Circle,PS_YSP,37493681.632,2394341.24,37493681.632,2394341.24,37493681.032,2394341.24,1.0,"c(37493681.332, 2394341.24)",37493681.332,2394341.24,254.52264857317493,
Circle,PS_YSP,37494015.459,2394492.543,37494015.459,2394492.543,37494014.859,2394492.543,1.0,"c(37494015.158999994, 2394492.543)",37494015.159,2394492.543,305.8934479018233,
Circle,PS_YSP,37493666.122,2394608.187,37493666.122,2394608.187,37493665.522,2394608.187,1.0,"c(37493665.822, 2394608.187)",37493665.822,2394608.187,69.79266211601315,
Circle,PS_YSP,37493197.591,2394580.531,37493197.591,2394580.531,37493196.991,2394580.531,1.0,"c(37493197.29099999, 2394580.531)",37493197.29099999,2394580.531,774.8797295373612,
Circle,PS_YSP,37493196.093,2394579.287,37493196.093,2394579.287,37493195.493,2394579.287,1.0,"c(37493195.793, 2394579.287)",37493195.793,2394579.287,776.2528631814755,
Circle,PS_YSP,37493204.29,2394580.244,37493204.29,2394580.244,37493203.69,2394580.244,1.0,"c(37493203.989999995, 2394580.244)",37493203.99,2394580.244,473.2864233925913,
Circle,PS_YSP,37493205.344,2394578.736,37493205.344,2394578.736,37493204.744,2394578.736,1.0,"c(37493205.044, 2394578.736)",37493205.044,2394578.736,471.5120650277846,
Circle,PS_YSP,37493191.517,2394577.272,37493191.517,2394577.272,37493190.917,2394577.272,1.0,"c(37493191.217, 2394577.272)",37493191.217,2394577.272,483.7982538080257,
Circle,PS_YSP,37493197.553,2394601.824,37493197.553,2394601.824,37493196.953,2394601.824,1.0,"c(37493197.253000006, 2394601.824)",37493197.253000006,2394601.824,483.8106556923515,
Circle,PS_YSP,37493197.532,2394623.094,37493197.532,2394623.094,37493196.932,2394623.094,1.0,"c(37493197.23199999, 2394623.094)",37493197.23199999,2394623.094,515.4866623422882,
Circle,PS_YSP,37493204.328,2394624.647,37493204.328,2394624.647,37493203.728,2394624.647,1.0,"c(37493204.028, 2394624.647)",37493204.028,2394624.647,84.4743073167683,
Circle,PS_YSP,37493197.625,2394656.758,37493197.625,2394656.758,37493197.025,2394656.758,1.0,"c(37493197.325, 2394656.758)",37493197.325,2394656.758,85.07238034795868,
Circle,PS_YSP,37493204.245,2394657.859,37493204.245,2394657.859,37493203.645,2394657.859,1.0,"c(37493203.945, 2394657.859)",37493203.945,2394657.859,74.07128961679665,
Circle,PS_YSP,37493204.317,2394698.517,37493204.317,2394698.517,37493203.717,2394698.517,1.0,"c(37493204.017000005, 2394698.517)",37493204.017000005,2394698.517,650.8434106117143,
Circle,PS_YSP,37494045.254,2394535.278,37494045.254,2394535.278,37494044.654,2394535.278,1.0,"c(37494044.953999996, 2394535.278)",37494044.954,2394535.278,421.298576547029,
Circle,PS_YSP,37494013.738,2394528.511,37494013.738,2394528.511,37494013.138,2394528.511,1.0,"c(37494013.43799999, 2394528.511)",37494013.43799999,2394528.511,399.8187398724367,
Circle,PS_YSP,37494013.862,2394531.12,37494013.862,2394531.12,37494013.262,2394531.12,1.0,"c(37494013.56200001, 2394531.12)",37494013.56200001,2394531.12,409.3155485480205,
Circle,PS_YSP,37494014.228,2394558.122,37494014.228,2394558.122,37494013.628,2394558.122,1.0,"c(37494013.928, 2394558.122)",37494013.928,2394558.122,434.54030796702983,
