Entity,Layer,Color,Linetype,Elevation,LineWt,RefName,Angle,ORIG_FID,geometry
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,7989,"c(37491053.355, 2398463.323)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7990,"c(37491051.664, 2398462.939)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,7991,"c(37491053.111, 2398434.101)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7992,"c(37491051.959, 2398438.292)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,7993,"c(37491053.459, 2398278.18)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7994,"c(37491051.646, 2398277.717)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,7995,"c(37491053.588, 2398257.287)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7996,"c(37491051.189, 2398257.669)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,7997,"c(37491053.667, 2398238.975)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7998,"c(37491051.136, 2398245.554)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,7999,"c(37491056.644, 2398239.144)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8000,"c(37492834.872, 2397522.921)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8001,"c(37490352.204, 2398225.45)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8002,"c(37490319.736, 2398279.774)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8003,"c(37490324.223, 2398279.465)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8004,"c(37490340.283, 2398281.963)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8005,"c(37490318.005, 2398308.731)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8006,"c(37490308.934, 2398369.507)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8007,"c(37490313.329, 2398369.738)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8008,"c(37490321.64, 2398371.109)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8009,"c(37490303.28, 2398399.258)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8010,"c(37490307.728, 2398400.399)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8011,"c(37490300.567, 2398485.953)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8012,"c(37490281.872, 2398513.907)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8013,"c(37490286.614, 2398515.562)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8014,"c(37490294.882, 2398517.134)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8015,"c(37490276.168, 2398545.965)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8016,"c(37490280.833, 2398547.029)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8017,"c(37490289.051, 2398548.474)"
Insert,PS_YSP,120,Continuous,0,25,YS_雨水井,0.0,8018,"c(37490271.562, 2398572.311)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8019,"c(37490276.027, 2398573.627)"
Insert,PS_YSP,120,Continuous,0,25,YS_水篦子,0.0,8020,"c(37490267.655, 2398665.064)"
