Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Insert,ArrowPS_WSL,37493279.1573,2394663.26998,37493279.1573,2394663.26998,37493279.1576,2394662.34156,25.0
Line,PS_WSL,37493288.058,2394677.023,37493279.155,2394670.525,37493283.6065,2394673.774,26.0
Insert,ArrowPS_WSL,37493283.0605,2394673.37548,37493283.0605,2394673.37548,37493283.8104,2394673.92282,26.0
Line,PS_WSL,37493288.012,2394677.584,37493279.155,2394670.525,37493283.5835,2394674.0545,27.0
Insert,ArrowPS_WSL,37493283.0549,2394673.63319,37493283.0549,2394673.63319,37493283.7809,2394674.21183,27.0
Line,PS_WSL,37493278.455,2394656.119,37493278.371,2394668.683,37493278.413,2394662.401,28.0
Insert,ArrowPS_WSL,37493278.4085,2394663.07697,37493278.4085,2394663.07697,37493278.4147,2394662.14857,28.0
Line,PS_WSL,37493278.774,2394643.394,37493278.455,2394656.119,37493278.6145,2394649.7565,29.0
Insert,ArrowPS_WSL,37493278.5976,2394650.43227,37493278.5976,2394650.43227,37493278.6208,2394649.50414,29.0
Line,PS_WSL,37493279.389,2394630.635,37493279.16,2394654.663,37493279.2745,2394642.649,30.0
Insert,ArrowPS_WSL,37493279.2681,2394643.32495,37493279.2681,2394643.32495,37493279.2769,2394642.39657,30.0
Line,PS_WSL,37493287.499,2394655.463,37493279.16,2394654.663,37493283.3295,2394655.063,31.0
Insert,ArrowPS_WSL,37493282.6566,2394654.99845,37493282.6566,2394654.99845,37493283.5808,2394655.08711,31.0
Line,PS_WSL,37493278.973,2394627.472,37493278.774,2394643.394,37493278.8735,2394635.433,32.0
Insert,ArrowPS_WSL,37493278.8651,2394636.10893,37493278.8651,2394636.10893,37493278.8767,2394635.18058,32.0
Line,PS_WSL,37493280.412,2394607.23,37493279.389,2394630.635,37493279.9005,2394618.9325,33.0
Insert,ArrowPS_WSL,37493279.871,2394619.60784,37493279.871,2394619.60784,37493279.9115,2394618.6803,33.0
Line,PS_WSL,37493287.567,2394635.655,37493279.389,2394630.635,37493283.478,2394633.145,34.0
Insert,ArrowPS_WSL,37493282.9019,2394632.79136,37493282.9019,2394632.79136,37493283.6931,2394633.27706,34.0
Line,PS_WSL,37493279.266,2394601.046,37493278.973,2394627.472,37493279.1195,2394614.259,35.0
Insert,ArrowPS_WSL,37493279.112,2394614.93494,37493279.112,2394614.93494,37493279.1223,2394614.00658,35.0
Line,PS_WSL,37493287.573,2394628.71,37493278.973,2394627.472,37493283.273,2394628.091,36.0
Insert,ArrowPS_WSL,37493282.6039,2394627.99468,37493282.6039,2394627.99468,37493283.5229,2394628.12697,36.0
Line,PS_WSL,37493280.165,2394599.87,37493280.412,2394607.23,37493280.2885,2394603.55,37.0
Insert,ArrowPS_WSL,37493280.3112,2394604.2256,37493280.3112,2394604.2256,37493280.28,2394603.2977,37.0
Line,PS_WSL,37493279.57,2394585.649,37493279.266,2394601.046,37493279.418,2394593.3475,38.0
Insert,ArrowPS_WSL,37493279.4047,2394594.02335,37493279.4047,2394594.02335,37493279.423,2394593.09511,38.0
