Entity,Layer,XS,YS,XE,YE,XM,YM,ID
Insert,ArrowPS_HSL,37493951.8239,2396278.8498,37493951.8239,2396278.8498,37493952.7264,2396279.06776,20.0
Line,PS_HSL,37494001.205,2396298.22,37493969.078,2396283.017,37493985.1415,2396290.6185,21.0
Insert,ArrowPS_HSL,37493984.5305,2396290.32935,37493984.5305,2396290.32935,37493985.3697,2396290.72648,21.0
Line,PS_HSL,37494057.47,2396325.707,37494050.363,2396322.404,37494053.9165,2396324.0555,22.0
Insert,ArrowPS_HSL,37494053.3035,2396323.7706,37494053.3035,2396323.7706,37494054.1454,2396324.16189,22.0
Line,PS_HSL,37494056.36,2396329.681,37494057.47,2396325.707,37494056.915,2396327.694,
Line,PS_HSL,37494055.609,2396328.621,37494057.47,2396325.707,37494056.5395,2396327.164,
Line,PS_HSL,37494064.327,2396309.47,37494057.47,2396325.707,37494060.8985,2396317.5885,23.0
Insert,ArrowPS_HSL,37494060.6355,2396318.21123,37494060.6355,2396318.21123,37494060.9967,2396317.35595,23.0
Line,PS_HSL,37494102.958,2396347.045,37494081.664,2396337.249,37494092.311,2396342.147,24.0
Insert,ArrowPS_HSL,37494091.6969,2396341.86448,37494091.6969,2396341.86448,37494092.5403,2396342.2525,24.0
Line,PS_HSL,37494122.913,2396356.006,37494102.958,2396347.045,37494112.9355,2396351.5255,25.0
Insert,ArrowPS_HSL,37494112.3188,2396351.24858,37494112.3188,2396351.24858,37494113.1658,2396351.62891,25.0
Line,PS_HSL,37494151.322,2396368.795,37494122.913,2396356.006,37494137.1175,2396362.4005,26.0
Insert,ArrowPS_HSL,37494136.5011,2396362.12301,37494136.5011,2396362.12301,37494137.3477,2396362.50412,26.0
Line,PS_HSL,37494156.834,2396370.997,37494151.322,2396368.795,37494154.078,2396369.896,27.0
Insert,ArrowPS_HSL,37494153.4503,2396369.64522,37494153.4503,2396369.64522,37494154.3124,2396369.98965,27.0
Line,PS_HSL,37494158.465,2396380.974,37494151.322,2396368.795,37494154.8935,2396374.8845,28.0
Insert,ArrowPS_HSL,37494154.5515,2396374.30141,37494154.5515,2396374.30141,37494155.0212,2396375.10225,28.0
Line,PS_HSL,37494148.329,2396377.414,37494151.322,2396368.795,37494149.8255,2396373.1045,29.0
Insert,ArrowPS_HSL,37494150.0472,2396372.46592,37494150.0472,2396372.46592,37494149.7427,2396373.34297,29.0
Line,PS_HSL,37494143.286,2396375.009,37494151.322,2396368.795,37494147.304,2396371.902,30.0
Insert,ArrowPS_HSL,37494147.8388,2396371.48849,37494147.8388,2396371.48849,37494147.1043,2396372.05642,30.0
Line,PS_HSL,37494145.744,2396375.854,37494151.322,2396368.795,37494148.533,2396372.3245,31.0
Insert,ArrowPS_HSL,37494148.9521,2396371.79412,37494148.9521,2396371.79412,37494148.3765,2396372.52256,31.0
Line,PS_HSL,37493935.884,2396275.0,37493893.515,2396273.184,37493914.6995,2396274.092,32.0
Insert,ArrowPS_HSL,37493914.0241,2396274.06305,37493914.0241,2396274.06305,37493914.9517,2396274.10281,32.0
Line,PS_HSL,37493893.515,2396273.184,37493840.315,2396272.181,37493866.915,2396272.6825,33.0
Insert,ArrowPS_HSL,37493866.2391,2396272.66976,37493866.2391,2396272.66976,37493867.1674,2396272.68726,33.0
Line,PS_HSL,37493840.315,2396272.181,37493793.274,2396267.903,37493816.7945,2396270.042,34.0
Insert,ArrowPS_HSL,37493816.1213,2396269.98078,37493816.1213,2396269.98078,37493817.0459,2396270.06486,34.0
Line,PS_HSL,37493793.274,2396267.903,37493751.835,2396242.051,37493772.5545,2396254.977,35.0
Insert,ArrowPS_HSL,37493771.981,2396254.6192,37493771.981,2396254.6192,37493772.7687,2396255.11062,35.0
Line,PS_HSL,37493751.835,2396242.051,37493730.776,2396240.408,37493741.3055,2396241.2295,36.0
Insert,ArrowPS_HSL,37493740.6316,2396241.17692,37493740.6316,2396241.17692,37493741.5572,2396241.24914,36.0
Line,PS_HSL,37493380.75,2393732.429,37493380.752,2393733.237,37493380.751,2393732.833,
Line,PS_HSL,37493380.752,2393733.237,37493377.002,2393770.221,37493378.877,2393751.729,37.0
Insert,ArrowPS_HSL,37493378.8088,2393752.40154,37493378.8088,2393752.40154,37493378.9025,2393751.47785,37.0
Line,PS_HSL,37493377.002,2393770.221,37493377.013,2393771.803,37493377.0075,2393771.012,
Line,PS_HSL,37489119.944,2396996.512,37489120.68,2396996.452,37489120.312,2396996.482,
Line,PS_HSL,37489457.707,2396483.692,37489443.024,2396485.097,37489450.3655,2396484.3945,38.0
Insert,ArrowPS_HSL,37489449.6926,2396484.45889,37489449.6926,2396484.45889,37489450.6168,2396484.37045,38.0
Line,PS_HSL,37489258.68,2396098.506,37489259.893,2396088.097,37489259.2865,2396093.3015,39.0
Insert,ArrowPS_HSL,37489259.3647,2396092.63006,37489259.3647,2396092.63006,37489259.2573,2396093.55224,39.0
Line,PS_HSL,37489426.461,2398253.69,37489430.659,2398254.049,37489428.56,2398253.8695,
Line,PS_HSL,37489426.696,2398288.884,37489426.768,2398317.905,37489426.732,2398303.3945,40.0
Insert,ArrowPS_HSL,37489426.7303,2398302.71852,37489426.7303,2398302.71852,37489426.7326,2398303.64694,40.0
