Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_WSL,37493279.99,2394578.915,37493280.17,2394599.87,37493280.08,2394589.393,40,WS_71,WS_125,0,0,0,0
Line,PS_WSL,37493278.47,2394567.435,37493279.57,2394585.649,37493279.02,2394576.542,41,WS_13,WS_70,0,0,0,0
Line,PS_WSL,37493279.95,2394569.123,37493279.99,2394578.915,37493279.97,2394574.019,42,WS_72,WS_71,0,0,0,0
Line,PS_WSL,37493280.4,2394564.877,37493279.95,2394569.123,37493280.18,2394567,,WS_6259,WS_72,0,0,0,0
Line,PS_WSL,37493279.73,2394565.482,37493278.47,2394567.435,37493279.1,2394566.459,,WS_6258,WS_13,0,0,0,0
Line,PS_WSL,37493976.61,2394696.41,37493990.05,2394707.118,37493983.33,2394701.764,43,WS_6294,WS_16,0,0,0,0
Line,PS_WSL,37493988.03,2394704.98,37493990.05,2394707.118,37493989.04,2394706.049,,WS_130,WS_16,0,0,0,0
Line,PS_WSL,37493986.21,2394667.528,37493990.05,2394707.118,37493988.13,2394687.323,44,WS_14,WS_16,0,0,0,0
Line,PS_WSL,37493746.74,2394431.872,37493729.65,2394433.537,37493738.2,2394432.705,45,WS_33,YS_94,0,0,0,0
Line,PS_WSL,37493778.58,2394395.238,37493779.48,2394388.567,37493779.03,2394391.903,46,WS_20,WS_19,0,0,0,0
Line,PS_WSL,37493779.48,2394388.567,37493809.3,2394388.696,37493794.39,2394388.632,47,WS_19,WS_21,0,0,0,0
Line,PS_WSL,37493809.3,2394388.696,37493839.35,2394389.023,37493824.33,2394388.86,48,WS_21,WS_22,0,0,0,0
Line,PS_WSL,37493839.35,2394389.023,37493869.48,2394389.401,37493854.42,2394389.212,49,WS_22,WS_41,0,0,0,0
Line,PS_WSL,37493869.22,2394396.24,37493869.48,2394389.401,37493869.35,2394392.821,50,WS_42,WS_41,0,0,0,0
Line,PS_WSL,37493869.78,2394370.73,37493869.48,2394389.401,37493869.63,2394380.066,51,WS_23,WS_41,0,0,0,0
Line,PS_WSL,37493869.48,2394389.401,37493899.45,2394389.632,37493884.46,2394389.517,52,WS_41,WS_43,0,0,0,0
Line,PS_WSL,37493899.45,2394389.632,37493928.6,2394389.914,37493914.02,2394389.773,53,WS_43,WS_44,0,0,0,0
Line,PS_WSL,37493928.6,2394389.914,37493928,2394411.048,37493928.3,2394400.481,54,WS_44,WS_45,0,0,0,0
Line,PS_WSL,37493922.48,2394430.702,37493933.85,2394430.853,37493928.16,2394430.778,55,WS_63,YS_142,0,0,0,0
Line,PS_WSL,37493928,2394411.048,37493927.48,2394440.664,37493927.74,2394425.856,56,WS_45,WS_64,0,0,0,0
Line,PS_WSL,37493927.48,2394440.664,37493928.1,2394471.204,37493927.79,2394455.934,57,WS_64,WS_65,0,0,0,0
Line,PS_WSL,37493933.6,2394488.191,37493936.17,2394486.816,37493934.89,2394487.504,,WS_15,WS_66,0,0,0,0
Line,PS_WSL,37493928.1,2394471.204,37493936.17,2394486.816,37493932.14,2394479.01,58,WS_65,WS_66,0,0,0,0
Line,PS_WSL,37493054.92,2396236.343,37493054.87,2396205.202,37493054.89,2396220.773,59,YS_1945,HS_117,0,0,0,0
Line,PS_WSL,37493036.06,2396351.972,37493054.87,2396353.396,37493045.46,2396352.684,60,WS_6461,WS_1086,7.45E-09,0,0,0
Line,PS_WSL,37493054.93,2396360.155,37493054.87,2396353.396,37493054.9,2396356.776,61,WS_592,WS_1086,0,0,0,0
Line,PS_WSL,37493055.06,2396367.075,37493054.93,2396360.155,37493054.99,2396363.615,62,WS_243,WS_592,0,0,0,0
Line,PS_WSL,37493399.29,2396276.174,37493394.58,2396275.286,37493396.94,2396275.73,,WS_6657,WS_832,0,0,0,0
Line,PS_WSL,37493390.99,2396273.05,37493391.06,2396290.305,37493391.03,2396281.678,63,WS_1017,WS_831,0,0,0,0
Line,PS_WSL,37493557.82,2396287.69,37493553.54,2396287.94,37493555.68,2396287.815,,WS_6681,WS_1128,0,0,0,0
Line,PS_WSL,37494134.75,2395901.658,37494134.7,2395893.925,37494134.73,2395897.792,64,WS_6559,WS_899,7.45E-09,0,0,0
Line,PS_WSL,37493054.78,2395230.821,37493042.61,2395251.029,37493048.7,2395240.925,65,WS_527,WS_254,0,0,0,0
Line,PS_WSL,37493075.03,2395250.919,37493042.61,2395251.029,37493058.82,2395250.974,66,WS_1089,WS_254,0,0,0,0
Line,PS_WSL,37493042.61,2395251.029,37493040.84,2395275.141,37493041.72,2395263.085,67,WS_254,WS_255,0,0,0,0
Line,PS_WSL,37493055.54,2395299.391,37493040.84,2395275.141,37493048.19,2395287.266,68,WS_294,WS_255,0,0,0,0
Line,PS_WSL,37493052.8,2395312.693,37493055.54,2395299.391,37493054.17,2395306.042,69,WS_295,WS_294,0,0,0,0
Line,PS_WSL,37493054.64,2395318.639,37493052.8,2395312.693,37493053.72,2395315.666,70,WS_152,WS_295,0,0,0,0
Line,PS_WSL,37493054.81,2395359.725,37493054.64,2395318.639,37493054.72,2395339.182,71,WS_153,WS_152,0,0,0,0
Line,PS_WSL,37493399.6,2394864.683,37493399.72,2394895.114,37493399.66,2394879.899,72,WS_206,WS_743,0,0,0,0
Line,PS_WSL,37493395.44,2394864.723,37493399.6,2394864.683,37493397.52,2394864.703,,WS_207,WS_206,0,0,0,0
Line,PS_WSL,37493042.63,2396667.134,37493055.05,2396666.859,37493048.84,2396666.997,73,WS_6664,WS_1154,0,0,0,0
Line,PS_WSL,37492294.13,2395224.262,37492298.25,2395216.231,37492296.19,2395220.247,74,WS_734,WS_733,0,0,0,0
Line,PS_WSL,37492272.06,2395201.683,37492298.25,2395216.231,37492285.15,2395208.957,75,WS_735,WS_733,0,0,0,0
Line,PS_WSL,37492246,2395186.876,37492272.06,2395201.683,37492259.03,2395194.28,76,WS_736,WS_735,0,0,0,0
Line,PS_WSL,37492262.68,2395157.44,37492246,2395186.876,37492254.34,2395172.158,77,WS_737,WS_736,0,0,0,0
Line,PS_WSL,37492244.44,2395189.566,37492246,2395186.876,37492245.22,2395188.221,,WS_6519,WS_736,0,0,0,0
Line,PS_WSL,37493336.77,2394903.886,37493367.38,2394903.898,37493352.07,2394903.892,78,WS_920,WS_745,0,0,0,0
Line,PS_WSL,37493636.7,2396182.04,37493609.52,2396182.365,37493623.11,2396182.203,79,WS_439,WS_174,0,0,0,0
Line,PS_WSL,37493636.57,2396175.102,37493636.7,2396182.04,37493636.64,2396178.571,80,WS_259,WS_439,0,0,0,0
Line,PS_WSL,37493119.96,2396606.973,37493082.74,2396606.871,37493101.35,2396606.922,81,WS_649,WS_1132,0,0,0,0
Line,PS_WSL,37493093.17,2395139.438,37493054.64,2395140.775,37493073.91,2395140.107,82,WS_539,WS_88,0,0,0,0
Line,PS_WSL,37493385.11,2396203.496,37493391.38,2396203.543,37493388.24,2396203.52,83,WS_6487,WS_994,7.45E-09,0,0,0
Line,PS_WSL,37493393.81,2396184.697,37493394.28,2396188.206,37493394.04,2396186.452,,WS_6625,WS_1088,0,0,0,0
Line,PS_WSL,37491556.16,2395275.283,37491526.12,2395275.457,37491541.14,2395275.37,84,WS_1464,WS_1439,0,0,0,0
Line,PS_WSL,37491511.92,2395628.065,37491510.93,2395620.084,37491511.42,2395624.075,85,WS_6667,WS_1197,7.45E-09,0,0,0
Line,PS_WSL,37491559.15,2395620.347,37491510.93,2395620.084,37491535.04,2395620.216,86,WS_1063,WS_1197,0,0,0,0
Line,PS_WSL,37491424.61,2394817.705,37491437.92,2394813.937,37491431.27,2394815.821,87,WS_6525,WS_762,0,0,0,0
Line,PS_WSL,37493391.06,2396290.305,37493344.68,2396289.342,37493367.87,2396289.824,88,WS_831,WS_827,0,0,0,0
Line,PS_WSL,37493160.17,2395128.135,37493101.77,2395128.482,37493130.97,2395128.309,89,WS_6353,WS_332,7.45E-09,0,0,0
Line,PS_WSL,37493282.51,2395029.423,37493282.49,2395030.809,37493282.5,2395030.116,,WS_1019,WS_283,0,0,0,0
Line,PS_WSL,37492383.51,2395264.363,37492404.53,2395289.189,37492394.02,2395276.776,90,WS_6603,WS_1020,0,0,0,0
Line,PS_WSL,37492404.52,2395479.407,37492404.5,2395448.259,37492404.51,2395463.833,91,WS_789,WS_788,0,0,0,0
Line,PS_WSL,37492439.04,2395479.164,37492404.52,2395479.407,37492421.78,2395479.286,92,WS_6385,WS_789,7.45E-09,0,0,0
Line,PS_WSL,37492395.33,2395489.94,37492404.52,2395479.407,37492399.93,2395484.674,93,WS_365,WS_789,0,0,0,0
Line,PS_WSL,37492392.81,2395506.412,37492395.33,2395489.94,37492394.07,2395498.176,94,WS_6386,WS_365,7.45E-09,0,0,0
Line,PS_WSL,37492404.61,2395519.079,37492395.33,2395489.94,37492399.97,2395504.51,95,WS_366,WS_365,0,0,0,0
Line,PS_WSL,37492404.59,2395530.323,37492404.61,2395519.079,37492404.6,2395524.701,96,WS_367,WS_366,0,0,0,0
Line,PS_WSL,37492404.45,2395569.503,37492404.59,2395530.323,37492404.52,2395549.913,97,WS_319,WS_367,0,0,0,0
Line,PS_WSL,37492395.89,2395569.272,37492404.45,2395569.503,37492400.17,2395569.388,98,WS_405,WS_319,0,0,0,0
Line,PS_WSL,37493859.41,2395123.841,37493835.21,2395105.826,37493847.31,2395114.834,99,WS_768,WS_1119,0,0,0,0
Line,PS_WSL,37493954,2395629.779,37493954.41,2395605.029,37493954.21,2395617.404,100,WS_959,WS_612,0,0,0,0
Line,PS_WSL,37493115.75,2395542.647,37493086.76,2395542.072,37493101.25,2395542.36,101,WS_499,WS_230,0,0,0,0
Line,PS_WSL,37493337.01,2394887.851,37493336.77,2394903.886,37493336.89,2394895.869,102,WS_6340,WS_920,0,0,0,0
Line,PS_WSL,37493281.01,2394911.827,37493306.29,2394903.9,37493293.65,2394907.864,103,WS_318,WS_240,0,0,0,0
Line,PS_WSL,37493277.93,2394905.092,37493281.01,2394911.827,37493279.47,2394908.46,104,WS_241,WS_318,0,0,0,0
Line,PS_WSL,37493256.25,2394922.927,37493281.01,2394911.827,37493268.63,2394917.377,105,WS_6373,WS_318,7.45E-09,0,0,0
Line,PS_WSL,37492405.07,2396647.016,37492405.02,2396676.934,37492405.04,2396661.975,106,WS_1062,WS_249,0,0,0,0
Line,PS_WSL,37492396.51,2396677.369,37492405.02,2396676.934,37492400.77,2396677.152,107,WS_833,WS_249,0,0,0,0
Line,PS_WSL,37494291.41,2395790.775,37494288.81,2395790.096,37494290.11,2395790.436,,WS_790,YS_807,0,0,0,0
Line,PS_WSL,37493087.02,2395360.878,37493054.81,2395359.725,37493070.91,2395360.302,108,WS_154,WS_153,0,0,0,0
Line,PS_WSL,37493044.88,2395359.627,37493054.81,2395359.725,37493049.84,2395359.676,109,WS_6282,WS_153,0,0,0,0
Line,PS_WSL,37492433.36,2396374.986,37492404.8,2396374.764,37492419.08,2396374.875,110,WS_544,WS_945,0,0,0,0
Line,PS_WSL,37492404.56,2396106.96,37492404.59,2396077.044,37492404.57,2396092.002,111,WS_308,WS_603,0,0,0,0
