Entity,Layer,XS,YS,XE,YE,XM,YM,ID,PS,PE,DS,DE,RS,RE
Line,PS_HSL,37494151.32,2396368.795,37494122.91,2396356.006,37494137.12,2396362.401,26,HS_26,HS_25,0,0,0,0
Line,PS_HSL,37494156.83,2396370.997,37494151.32,2396368.795,37494154.08,2396369.896,27,HS_745,HS_26,7.45E-09,0,0,0
Line,PS_HSL,37494158.47,2396380.974,37494151.32,2396368.795,37494154.89,2396374.885,28,HS_746,HS_26,0,0,0,0
Line,PS_HSL,37494148.33,2396377.414,37494151.32,2396368.795,37494149.83,2396373.105,29,HS_747,HS_26,7.45E-09,0,0,0
Line,PS_HSL,37494143.29,2396375.009,37494151.32,2396368.795,37494147.3,2396371.902,30,HS_748,HS_26,0,0,0,0
Line,PS_HSL,37494145.74,2396375.854,37494151.32,2396368.795,37494148.53,2396372.325,31,HS_749,HS_26,0,0,0,0
Line,PS_HSL,37493935.88,2396275,37493893.52,2396273.184,37493914.7,2396274.092,32,HS_741,HS_21,0,0,0,0
Line,PS_HSL,37493893.52,2396273.184,37493840.32,2396272.181,37493866.92,2396272.683,33,HS_21,HS_750,0,0,0,0
Line,PS_HSL,37493840.32,2396272.181,37493793.27,2396267.903,37493816.79,2396270.042,34,HS_750,HS_751,0,7.45E-09,0,0
Line,PS_HSL,37493793.27,2396267.903,37493751.84,2396242.051,37493772.55,2396254.977,35,HS_751,HS_752,7.45E-09,7.45E-09,0,0
Line,PS_HSL,37493751.84,2396242.051,37493730.78,2396240.408,37493741.31,2396241.23,36,HS_752,HS_6408,7.45E-09,0,0,0
Line,PS_HSL,37493380.75,2393732.429,37493380.75,2393733.237,37493380.75,2393732.833,,HS_756,HS_27,0,0,0,0
Line,PS_HSL,37493380.75,2393733.237,37493377,2393770.221,37493378.88,2393751.729,37,HS_27,HS_28,0,0,0,0
Line,PS_HSL,37493377,2393770.221,37493377.01,2393771.803,37493377.01,2393771.012,,HS_28,HS_29,0,0,0,0
Line,PS_HSL,37489119.94,2396996.512,37489120.68,2396996.452,37489120.31,2396996.482,,HS_221,YS_19249,0,0,0,0
