Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20931,"c(37493674.3359432, 2394535.25571617)",37493674.34,2394535.256
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20932,"c(37493673.5915704, 2394528.69537711)",37493673.59,2394528.695
Text,PS_YSLText,120,0,Ì≈  DN400X300,CDShxStyle,Ì≈  DN400X300,20933,"c(37493684.2909862, 2394447.44028094)",37493684.29,2394447.44
Text,PS_YSLText,120,0,Ì≈  DN400X300,CDShxStyle,Ì≈  DN400X300,20934,"c(37493684.2394992, 2394436.08660172)",37493684.24,2394436.087
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20935,"c(37493684.2854756, 2394424.53294289)",37493684.29,2394424.533
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20936,"c(37493684.3099921, 2394413.11019303)",37493684.31,2394413.11
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20937,"c(37493684.2944979, 2394401.69594268)",37493684.29,2394401.696
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20938,"c(37493684.3519875, 2394390.18803958)",37493684.35,2394390.188
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20939,"c(37493684.3584912, 2394378.56903664)",37493684.36,2394378.569
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20940,"c(37493684.3179997, 2394367.03497511)",37493684.32,2394367.035
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20941,"c(37493684.3734708, 2394355.63840675)",37493684.37,2394355.638
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20942,"c(37493684.3829795, 2394344.1954753)",37493684.38,2394344.195
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20943,"c(37493684.3379996, 2394332.70710896)",37493684.34,2394332.707
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20944,"c(37493684.4404292, 2394321.29291365)",37493684.44,2394321.293
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20945,"c(37493684.4914852, 2394309.82065429)",37493684.49,2394309.821
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20946,"c(37493684.4154926, 2394298.23828359)",37493684.42,2394298.238
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20947,"c(37493684.4339814, 2394286.65081279)",37493684.43,2394286.651
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20948,"c(37493684.4289797, 2394274.73799752)",37493684.43,2394274.738
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20949,"c(37493684.3614985, 2394263.58626177)",37493684.36,2394263.586
Text,PS_YSLText,120,0,Ì≈  DN400X400,CDShxStyle,Ì≈  DN400X400,20950,"c(37493684.3839907, 2394252.81855698)",37493684.38,2394252.819
Text,PS_YSLText,120,0,Ì≈  DN400X600,CDShxStyle,Ì≈  DN400X600,20951,"c(37493683.373527, 2394242.72119972)",37493683.37,2394242.721
Text,PS_YSLText,120,0,Ì≈  DN500,CDShxStyle,Ì≈  DN500,20952,"c(37493697.3680348, 2394246.4170418)",37493697.37,2394246.417
