Entity,Layer,Color,Elevation,RefName,Style,Text,ORIG_FID,geometry,x_coordinate,y_coordinate
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51601,"c(37489387.5866659, 2399145.13844632)",37489387.5866659,2399145.13844632
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51602,"c(37489401.3679164, 2399150.7333309)",37489401.3679164,2399150.7333309
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51603,"c(37489410.5547972, 2399154.12394566)",37489410.5547972,2399154.12394566
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51604,"c(37489425.1641997, 2399157.88543994)",37489425.1641997,2399157.88543994
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51605,"c(37489414.6443128, 2399159.24357495)",37489414.6443128,2399159.24357495
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51606,"c(37489435.3130046, 2399163.23714174)",37489435.3130046,2399163.23714174
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51607,"c(37489445.0024157, 2399161.14173196)",37489445.0024157,2399161.14173196
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51608,"c(37489465.2992042, 2399164.18138741)",37489465.2992042,2399164.18138741
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51609,"c(37489500.5077592, 2399176.06320312)",37489500.5077592,2399176.06320312
Text,PS_HSLtext,2,0,Ì≈  DN200,CDShxStyle,Ì≈  DN200,51610,"c(37489524.1763545, 2399189.2328243)",37489524.1763545,2399189.2328243
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51611,"c(37489536.2051002, 2399191.35792152)",37489536.2051002,2399191.35792152
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51612,"c(37489803.0729191, 2399165.08883611)",37489803.0729191,2399165.08883611
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51613,"c(37489434.6629278, 2398612.66951276)",37489434.6629278,2398612.66951276
Text,PS_HSLtext,2,0,Ì≈  DN400,CDShxStyle,Ì≈  DN400,51614,"c(37489453.1379079, 2398612.29468478)",37489453.1379079,2398612.29468478
